Date,BOT 3m
2023-12-29,3.64
2023-12-22,3.726
2023-12-15,3.576
2023-12-08,3.764
2023-12-01,3.674
2023-11-24,3.883
2023-11-17,3.789
2023-11-10,3.909
2023-11-03,3.891
2023-10-27,3.816
2023-10-20,3.778
2023-10-13,3.887
2023-10-06,3.91
2023-09-29,3.914
2023-09-22,3.845
2023-09-15,3.814
2023-09-08,3.721
2023-09-01,3.738
2023-08-25,3.385
2023-08-18,3.348
2023-08-11,3.449
2023-08-04,3.561
2023-07-28,3.605
2023-07-21,3.596
2023-07-14,3.559
2023-07-07,3.649
2023-06-30,3.527
2023-06-23,3.32
2023-06-16,3.283
2023-06-09,3.256
2023-06-02,3.205
2023-05-26,3.252
2023-05-19,3.201
2023-05-12,3.216
2023-05-05,2.767
2023-04-28,2.749
2023-04-21,2.886
2023-04-14,2.792
2023-04-07,2.773
2023-03-31,2.657
2023-03-24,2.78
2023-03-17,2.726
2023-03-10,2.415
2023-03-03,2.693
2023-02-24,2.652
2023-02-17,2.641
2023-02-10,2.538
2023-02-03,2.464
2023-01-27,2.111
2023-01-20,2.083
2023-01-13,1.933
2023-01-06,1.864
2022-12-30,1.757
2022-12-23,1.758
2022-12-16,1.827
2022-12-09,1.626
2022-12-02,1.463
2022-11-25,1.359
2022-11-18,1.406
2022-11-11,1.513
2022-11-04,1.295
2022-10-28,1.148
2022-10-21,0.679
2022-10-14,0.637
2022-10-07,0.673
2022-09-30,0.789
2022-09-23,0.798
2022-09-16,0.699
2022-09-09,0.624
2022-09-02,0.3
2022-08-26,0.174
2022-08-19,0.109
2022-08-12,0.133
2022-08-05,0.145
2022-07-29,0.123
2022-07-22,-0.147
2022-07-15,-0.424
2022-07-08,-0.433
2022-07-01,-0.404
2022-06-24,-0.323
2022-06-17,-0.348
2022-06-10,-0.358
2022-06-03,-0.448
2022-05-27,-0.705
2022-05-20,-0.636
2022-05-13,-0.671
2022-05-06,-0.626
2022-04-29,-0.652
2022-04-22,-0.636
2022-04-15,-0.548
2022-04-08,-0.6
2022-04-01,-0.638
2022-03-25,-0.696
2022-03-18,-0.7
2022-03-11,-0.662
2022-03-04,-0.626
2022-02-25,-0.637
2022-02-18,-0.622
2022-02-11,-0.598
2022-02-04,-0.545
2022-01-28,-0.599
2022-01-21,-0.573
2022-01-14,-0.605
2022-01-07,-0.684
2021-12-31,-0.739
2021-12-24,-0.774
2021-12-17,-0.751
2021-12-10,-0.75
2021-12-03,-0.757
2021-11-26,-0.756
2021-11-19,-0.738
2021-11-12,-0.762
2021-11-05,-0.672
2021-10-29,-0.601
2021-10-22,-0.543
2021-10-15,-0.552
2021-10-08,-0.556
2021-10-01,-0.567
2021-09-24,-0.562
2021-09-17,-0.552
2021-09-10,-0.553
2021-09-03,-0.559
2021-08-27,-0.558
2021-08-20,-0.558
2021-08-13,-0.565
2021-08-06,-0.552
2021-07-30,-0.554
2021-07-23,-0.545
2021-07-16,-0.547
2021-07-09,-0.546
2021-07-02,-0.6
2021-06-25,-0.537
2021-06-18,-0.558
2021-06-11,-0.583
2021-06-04,-0.526
2021-05-28,-0.523
2021-05-21,-0.523
2021-05-14,-0.528
2021-05-07,-0.532
2021-04-30,-0.534
2021-04-23,-0.527
2021-04-16,-0.531
2021-04-09,-0.522
2021-04-02,-0.535
2021-03-26,-0.506
2021-03-19,-0.504
2021-03-12,-0.513
2021-03-05,-0.513
2021-02-26,-0.49
2021-02-19,-0.481
2021-02-12,-0.486
2021-02-05,-0.467
2021-01-29,-0.461
2021-01-22,-0.484
2021-01-15,-0.524
2021-01-08,-0.567
2021-01-01,-0.651
2020-12-25,-0.563
2020-12-18,-0.527
2020-12-11,-0.554
2020-12-04,-0.579
2020-11-27,-0.528
2020-11-20,-0.507
2020-11-13,-0.509
2020-11-06,-0.517
2020-10-30,-0.508
2020-10-23,-0.501
2020-10-16,-0.504
