Date,FTSEMIB Index - Last price
2023-12-29,30351.62
2023-12-22,30353.29
2023-12-15,30373.89
2023-12-08,30403.9
2023-12-01,29928.45
2023-11-24,29432.3
2023-11-17,29498.43
2023-11-10,28504.43
2023-11-03,28674.83
2023-10-27,27287.45
2023-10-20,27357.0
2023-10-13,28237.02
2023-10-06,27810.61
2023-09-29,28243.26
2023-09-22,28575.9
2023-09-15,28895.39
2023-09-08,28233.2
2023-09-01,28650.49
2023-08-25,28208.45
2023-08-18,27761.98
2023-08-11,28274.74
2023-08-04,28586.37
2023-07-28,29500.2
2023-07-21,28855.09
2023-07-14,28663.3
2023-07-07,27778.32
2023-06-30,28230.83
2023-06-23,27209.66
2023-06-16,27861.8
2023-06-09,27162.02
2023-06-02,27068.33
2023-05-26,26713.4
2023-05-19,27520.33
2023-05-12,27347.32
2023-05-05,27348.57
2023-04-28,27077.44
2023-04-21,27745.81
2023-04-14,27872.24
2023-04-07,27213.86
2023-03-31,27113.95
2023-03-24,25892.18
2023-03-17,25494.54
2023-03-10,27281.96
2023-03-03,27825.08
2023-02-24,26986.35
2023-02-17,27751.14
2023-02-10,27268.17
2023-02-03,26950.74
2023-01-27,26435.75
2023-01-20,25775.52
2023-01-13,25783.48
2023-01-06,25180.35
2022-12-30,23706.96
2022-12-23,23877.55
2022-12-16,23688.16
2022-12-09,24277.49
2022-12-02,24621.72
2022-11-25,24718.81
2022-11-18,24675.18
2022-11-11,24455.57
2022-11-04,23282.46
2022-10-28,22529.2
2022-10-21,21567.55
2022-10-14,20930.81
2022-10-07,20901.56
2022-09-30,20648.85
2022-09-23,21066.55
2022-09-16,22110.89
2022-09-09,22094.56
2022-09-02,21921.26
2022-08-26,21895.25
2022-08-19,22534.57
2022-08-12,22970.73
2022-08-05,22586.88
2022-07-29,22405.48
2022-07-22,21211.98
2022-07-15,20933.26
2022-07-08,21774.18
2022-07-01,21354.65
2022-06-24,22119.2
2022-06-17,21788.87
2022-06-10,22547.48
2022-06-03,24166.66
2022-05-27,24636.26
2022-05-20,24095.0
2022-05-13,24048.29
2022-05-06,23475.72
2022-04-29,24252.16
2022-04-22,24279.63
2022-04-15,24862.35
2022-04-08,24819.15
2022-04-01,25163.3
2022-03-25,24558.74
2022-03-18,24222.16
2022-03-11,23041.2
2022-03-04,22464.86
2022-02-25,25773.03
2022-02-18,26506.79
2022-02-11,26966.1
2022-02-04,26603.59
2022-01-28,26565.41
2022-01-21,27061.4
2022-01-14,27543.96
2022-01-07,27618.47
2021-12-31,27346.83
2021-12-24,27016.22
2021-12-17,26611.41
2021-12-10,26721.98
2021-12-03,25938.52
2021-11-26,25852.99
2021-11-19,27337.46
2021-11-12,27732.39
2021-11-05,27795.93
2021-10-29,26875.96
2021-10-22,26571.73
2021-10-15,26489.18
2021-10-08,26051.01
2021-10-01,25615.31
2021-09-24,25968.84
2021-09-17,25709.56
2021-09-10,25686.47
2021-09-03,26064.78
2021-08-27,26006.63
2021-08-20,25918.27
2021-08-13,26652.56
2021-08-06,26000.28
2021-07-30,25363.02
2021-07-23,25124.91
2021-07-16,24792.78
2021-07-09,25051.82
2021-07-02,25282.41
2021-06-25,25510.5
2021-06-18,25218.16
2021-06-11,25717.42
2021-06-04,25570.46
2021-05-28,25169.39
2021-05-21,24975.0
2021-05-14,24766.09
2021-05-07,24612.04
2021-04-30,24141.16
2021-04-23,24386.09
2021-04-16,24744.38
2021-04-09,24429.41
2021-04-02,24710.0
2021-03-26,24393.26
2021-03-19,24199.42
2021-03-12,24113.22
2021-03-05,22965.63
2021-02-26,22848.58
2021-02-19,23136.31
2021-02-12,23410.6
2021-02-05,23083.42
2021-01-29,21572.53
2021-01-22,22088.36
2021-01-15,22381.35
2021-01-08,22793.94
2021-01-01,22232.9
2020-12-25,22130.18
2020-12-18,21976.12
2020-12-11,21702.16
2020-12-04,22178.8
2020-11-27,22352.46
2020-11-20,21706.96
2020-11-13,20903.58
2020-11-06,19681.68
2020-10-30,17943.11
2020-10-23,19285.41
2020-10-16,19389.68
2020-10-09,19595.38
2020-10-02,19064.31
2020-09-25,18698.36
2020-09-18,19524.94
2020-09-11,19820.75
2020-09-04,19391.25
2020-08-28,19841.01
2020-08-21,19695.43
2020-08-14,20028.11
2020-08-07,19516.43
2020-07-31,19091.93
2020-07-24,20075.27
2020-07-17,20419.39
2020-07-10,19767.6
2020-07-03,19726.65
2020-06-26,19124.36
2020-06-19,19618.93
2020-06-12,18888.16
2020-06-05,20187.51
2020-05-29,18197.56
2020-05-22,17316.29
2020-05-15,16852.35
2020-05-08,17439.3
2020-05-01,17690.49
2020-04-24,16858.89
2020-04-17,17055.47
2020-04-10,17621.62
2020-04-03,16384.35
2020-03-27,16822.59
2020-03-20,15731.85
2020-03-13,15954.29
2020-03-06,20799.89
2020-02-28,21984.21
2020-02-21,24773.15
2020-02-14,24867.01
2020-02-07,24478.32
2020-01-31,23237.03
2020-01-24,23969.13
2020-01-17,24141.07
2020-01-10,24021.4
2020-01-03,23702.35
2019-12-27,23757.6
2019-12-20,24003.64
2019-12-13,23329.33
2019-12-06,23182.72
2019-11-29,23259.33
2019-11-22,23259.8
2019-11-15,23588.59
2019-11-08,23534.49
2019-11-01,22934.32
2019-10-25,22608.99
2019-10-18,22321.77
2019-10-11,22165.34
2019-10-04,21470.44
2019-09-27,22017.4
2019-09-20,22123.25
2019-09-13,22181.41
2019-09-06,21947.33
2019-08-30,21322.9
2019-08-23,20473.86
2019-08-16,20322.59
2019-08-09,20324.23
2019-08-02,21046.86
2019-07-26,21837.74
2019-07-19,21641.46
2019-07-12,22182.7
2019-07-05,21985.79
2019-06-28,21234.79
2019-06-21,21388.63
2019-06-14,20612.45
2019-06-07,20360.59
2019-05-31,19802.11
2019-05-24,20376.03
2019-05-17,21105.28
2019-05-10,20874.78
2019-05-03,21763.48
2019-04-26,21737.97
2019-04-19,21956.59
2019-04-12,21858.31
2019-04-05,21758.61
2019-03-29,21286.13
2019-03-22,21078.76
2019-03-15,21045.41
2019-03-08,20484.39
2019-03-01,20694.53
2019-02-22,20262.51
2019-02-15,20212.34
2019-02-08,19351.9
2019-02-01,19576.77
2019-01-25,19810.52
2019-01-18,19708.06
2019-01-11,19290.09
2019-01-04,18831.79
2018-12-28,18324.03
2018-12-21,18397.19
2018-12-14,18910.79
2018-12-07,18741.98
2018-11-30,19188.97
2018-11-23,18714.9
2018-11-16,18878.31
2018-11-09,19258.11
2018-11-02,19390.34
2018-10-26,18683.27
2018-10-19,19080.16
2018-10-12,19255.98
2018-10-05,20345.96
2018-09-28,20711.7
2018-09-21,21536.74
2018-09-14,20885.43
2018-09-07,20447.69
2018-08-31,20269.47
2018-08-24,20741.96
2018-08-17,20415.27
2018-08-10,21090.78
2018-08-03,21586.85
2018-07-27,21955.08
2018-07-20,21794.6
2018-07-13,21892.35
2018-07-06,21925.51
2018-06-29,21626.27
2018-06-22,21888.47
2018-06-15,22190.45
2018-06-08,21355.98
2018-06-01,22109.55
2018-05-25,22398.15
2018-05-18,23449.65
2018-05-11,24159.34
2018-05-04,24335.02
2018-04-27,23927.61
2018-04-20,23829.34
2018-04-13,23330.32
2018-04-06,22929.87
2018-03-30,22411.15
2018-03-23,22289.1
2018-03-16,22857.69
2018-03-09,22745.6
2018-03-02,21912.14
2018-02-23,22672.15
2018-02-16,22797.88
2018-02-09,22166.75
2018-02-02,23202.66
2018-01-26,23856.99
2018-01-19,23749.22
2018-01-12,23429.83
2018-01-05,22762.29
