Date,Last_price_A2A 2018-2023,Last_price_Amplifon 2018-2023,Last_price_Azimut 2018-2023,Last_price_BPER banca 2018-2023,Last_price_Banca Mediolanum 2018-2023,Last_price_Banca Monte dei Paschi di Siena 2018-2023,Last_price_Banca pop Sondrio 2018-2023,Last_price_Banco Bpm 2018-2023,Last_price_Brunello cucinelli 2018-2023,Last_price_Campari 2018-2023,Last_price_Diasorin 2018-2023,Last_price_Enel 2018-2023,Last_price_Eni 2018-2023,Last_price_Erg 2018-2023,Last_price_Ferrari 2018-2023,Last_price_Fineco 2018-2023,Last_price_Generali Ass 2018-2023,Last_price_Hera 2018-2023,Last_price_Interpump 2018-2023,Last_price_Intesa San Paolo 2018-2023,Last_price_Inwit 2018-2023,Last_price_Italgas 2018-2023,Last_price_Leonardo 2018-2023,Last_price_Mediobanca 2018-2023,Last_price_Moncler 2018-2023,Last_price_Pirelli 2018-2023,Last_price_Poste Italiane 2018-2023,Last_price_Prysmian 2018-2023,Last_price_Recordati 2018-2023,Last_price_Saipem 2018-2023,Last_price_Snam 2018-2023,Last_price_Stellantis 2018-2023,Last_price_Stmicroeletronics 2018-2023,Last_price_Telecom 2018-2023,Last_price_Tenaris 2018-2023,Last_price_Terna 2018-2023,Last_price_Unicredit 2018-2023,Last_price_Unipol 2018-2023
2023-12-29,1.859,31.34,23.64,3.026,8.534,3.046,5.86,23.64,88.6,10.215,93.24,6.73,15.348,28.86,305.2,13.585,19.105,2.972,46.87,2.6435,11.45,5.18,14.935,11.205,55.7,4.927,10.275,41.17,48.83,1.47,4.655,21.15,45.21,0.2942,15.745,7.554,24.565,5.162
2023-12-22,1.859,31.53,23.6,3.045,8.46,3.071,5.645,23.6,87.7,10.21,93.52,6.719,15.288,28.6,304.9,13.44,19.16,3.01,46.89,2.647,11.5,5.19,14.75,11.245,56.0,4.858,10.265,40.91,48.22,1.4465,4.682,21.225,45.53,0.3001,16.045,7.606,24.42,5.124
2023-12-15,1.9395,31.68,23.64,3.061,8.618,2.986,5.435,23.64,85.5,10.01,91.9,6.67,14.814,28.08,327.5,13.765,19.095,3.018,46.73,2.635,11.26,5.2,14.78,11.125,55.92,4.826,10.225,39.49,47.88,1.413,4.669,21.545,46.84,0.2688,15.64,7.652,23.685,5.206
2023-12-08,1.9615,28.17,22.5,3.35,8.28,3.271,5.69,22.5,79.2,10.06,90.24,6.566,15.01,27.0,340.7,12.93,19.14,2.968,44.55,2.7,11.545,5.235,13.85,11.13,53.66,4.8,10.035,38.52,46.7,1.401,4.696,21.025,44.395,0.2658,15.745,7.672,25.3,5.254
2023-12-01,1.9665,28.15,22.29,3.464,8.22,3.14,5.845,22.29,75.4,10.015,86.58,6.507,15.25,26.52,328.8,12.37,18.955,2.908,42.92,2.666,11.335,5.13,14.335,10.805,50.68,4.562,9.92,36.5,44.19,1.507,4.654,20.105,43.74,0.2666,16.085,7.432,25.18,5.292
2023-11-24,1.955,28.42,22.1,3.417,8.192,2.984,5.865,22.1,77.75,10.43,88.08,6.414,15.068,25.46,336.0,12.105,19.07,2.846,42.52,2.5995,10.73,5.08,14.52,10.84,51.56,4.508,9.874,35.62,44.61,1.455,4.575,18.798,41.805,0.26,15.565,7.378,25.12,5.33
2023-11-17,1.9315,27.52,21.94,3.484,8.418,3.05,5.91,21.94,77.3,10.275,88.76,6.405,15.012,25.48,329.6,12.3,19.46,2.84,42.24,2.6845,10.7,5.025,14.655,11.765,50.44,4.546,10.17,35.76,45.18,1.4585,4.498,18.47,41.91,0.2592,15.665,7.52,25.035,5.346
2023-11-10,1.7755,27.1,20.85,3.294,8.18,2.683,5.6,20.85,78.35,10.54,84.82,6.129,14.998,23.04,314.7,11.765,19.105,2.656,41.75,2.566,10.65,4.84,14.87,11.54,49.46,4.408,9.882,34.84,44.26,1.39,4.348,17.982,38.63,0.2525,16.09,7.342,23.865,5.238
2023-11-03,1.7915,27.7,20.47,3.155,8.056,2.658,5.27,20.47,81.0,10.785,90.24,6.16,15.366,23.98,308.7,11.91,19.015,2.756,41.07,2.5635,10.81,4.924,14.34,11.495,51.0,4.393,9.53,35.81,43.95,1.475,4.389,18.696,38.435,0.2597,16.318,7.358,23.43,5.158
2023-10-27,1.7465,25.76,19.415,2.927,7.598,2.429,4.956,19.415,74.7,10.17,82.4,5.755,15.51,23.14,282.6,11.05,18.41,2.54,39.1,2.3775,10.19,4.708,13.85,10.68,48.51,4.07,9.142,33.78,43.42,1.388,4.307,17.318,37.515,0.2412,14.805,7.17,23.08,5.018
2023-10-20,1.6825,27.24,19.655,2.86,7.698,2.373,5.045,19.655,75.1,10.925,82.58,5.647,15.398,22.54,284.4,10.925,18.145,2.566,39.53,2.344,10.365,4.832,13.865,11.035,52.58,4.292,9.188,34.52,43.99,1.4485,4.399,17.648,37.73,0.2573,15.26,7.26,22.125,5.062
